recordno,street,city,zip,state,email,birth_date,telno,ssn
47,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,165000,
48,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,166357,
49,MASKED,MASKED,95838,CA,henry@gmail.com,05/21/1981,166357,
50,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,168000,
51,MASKED,MASKED,95624,CA,henry@gmail.com,05/21/1981,170000,
52,MASKED,MASKED,95828,CA,henry@gmail.com,05/21/1981,173000,
53,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,174250,
54,MASKED,MASKED,95828,CA,henry@gmail.com,05/21/1981,174313,
55,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,178480,
56,MASKED,MASKED,95632,CA,henry@gmail.com,05/21/1981,178760,
57,MASKED,MASKED,95842,CA,steve@outlook.com,05/21/1981,179580,
58,MASKED,MASKED,95826,CA,henry@gmail.com,05/21/1981,181000,
59,MASKED,MASKED,95608,CA,henry@gmail.com,05/21/1981,181872,
60,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,182587,
61,MASKED,MASKED,95843,CA,henry@gmail.com,05/21/1981,182716,
62,MASKED,MASKED,95632,CA,henry@gmail.com,05/21/1981,182750,
63,MASKED,MASKED,95662,CA,henry@gmail.com,05/21/1981,183200,
64,MASKED,MASKED,95632,CA,henry@gmail.com,05/21/1981,188741,
65,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,189000,
66,MASKED,MASKED,95826,CA,henry@gmail.com,05/21/1981,192067,
67,MASKED,MASKED,95758,CA,henry@gmail.com,05/21/1981,194000,
68,MASKED,MASKED,95843,CA,henry@gmail.com,05/21/1981,194818,
69,MASKED,MASKED,95828,CA,steve@outlook.com,05/21/1981,195000,
70,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,198000,
71,MASKED,MASKED,95624,CA,henry@gmail.com,05/21/1981,199500,
72,MASKED,MASKED,95630,CA,henry@gmail.com,05/21/1981,200000,
73,MASKED,MASKED,95608,CA,henry@gmail.com,05/21/1981,200000,
74,MASKED,MASKED,95834,CA,henry@gmail.com,05/21/1981,206000,
75,MASKED,MASKED,95834,CA,henry@gmail.com,05/21/1981,208000,
76,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,212864,
77,MASKED,MASKED,95758,CA,henry@gmail.com,05/21/1981,221000,
78,MASKED,MASKED,95835,CA,henry@gmail.com,05/21/1981,221000,
79,MASKED,MASKED,95624,CA,henry@gmail.com,05/21/1981,223058,
80,MASKED,MASKED,95624,CA,henry@gmail.com,05/21/1981,227887,
81,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,231477,
82,MASKED,MASKED,95670,CA,henry@gmail.com,05/21/1981,234697,
83,MASKED,MASKED,95621,CA,henry@gmail.com,05/21/1981,235000,
84,MASKED,MASKED,95833,CA,henry@gmail.com,05/21/1981,236000,
85,MASKED,MASKED,95829,CA,henry@gmail.com,05/21/1981,236685,
86,MASKED,MASKED,95655,CA,henry@gmail.com,05/21/1981,237800,
87,MASKED,MASKED,95673,CA,henry@gmail.com,05/21/1981,240122,
88,MASKED,MASKED,95757,CA,henry@gmail.com,05/21/1981,242638,
89,MASKED,MASKED,95828,CA,henry@gmail.com,05/21/1981,244000,
90,MASKED,MASKED,95833,CA,henry@gmail.com,05/21/1981,244500,
91,MASKED,MASKED,95828,CA,henry@gmail.com,05/21/1981,244960,
92,MASKED,MASKED,95624,CA,henry@gmail.com,05/21/1981,245918,
93,MASKED,MASKED,95621,CA,henry@gmail.com,05/21/1981,250000,
94,MASKED,MASKED,95758,CA,henry@gmail.com,05/21/1981,250000,
95,MASKED,MASKED,95608,CA,corbett@hotmail.com,05/21/1981,250134,
96,MASKED,MASKED,95757,CA,henry@gmail.com,05/21/1981,254200,
97,MASKED,MASKED,95841,CA,henry@gmail.com,05/21/1981,254200,
98,MASKED,MASKED,95758,CA,henry@gmail.com,05/21/1981,258000,
99,MASKED,MASKED,95835,CA,henry@gmail.com,05/21/1981,260000,
100,MASKED,MASKED,95820,CA,henry@gmail.com,05/21/1981,260014,
101,MASKED,MASKED,95742,CA,henry@gmail.com,05/21/1981,263500,
102,MASKED,MASKED,95834,CA,corbett@hotmail.com,05/21/1981,265000,
103,MASKED,MASKED,95726,CA,henry@gmail.com,05/21/1981,265000,
104,MASKED,MASKED,95822,CA,henry@gmail.com,05/21/1981,271742,
105,MASKED,MASKED,95829,CA,henry@gmail.com,05/21/1981,273750,
106,MASKED,MASKED,95822,CA,henry@gmail.com,05/21/1981,275086,
107,MASKED,MASKED,95726,CA,henry@gmail.com,05/21/1981,280908,
108,MASKED,MASKED,95832,CA,henry@gmail.com,05/21/1981,280987,
109,MASKED,MASKED,95826,CA,steve@outlook.com,05/21/1981,282400,
110,MASKED,MASKED,95758,CA,henry@gmail.com,05/21/1981,285000,
111,MASKED,MASKED,95624,CA,henry@gmail.com,05/21/1981,287417,
112,MASKED,MASKED,95757,CA,henry@gmail.com,05/21/1981,291000,
113,MASKED,MASKED,95818,CA,henry@gmail.com,05/21/1981,292024,
114,MASKED,MASKED,95827,CA,steve@outlook.com,05/21/1981,297000,
115,MASKED,MASKED,95758,CA,henry@gmail.com,05/21/1981,297000,
116,MASKED,MASKED,95757,CA,henry@gmail.com,05/21/1981,298000,
117,MASKED,MASKED,95670,CA,henry@gmail.com,05/21/1981,299000,
118,MASKED,MASKED,95835,CA,henry@gmail.com,05/21/1981,304037,
119,MASKED,MASKED,95624,CA,henry@gmail.com,05/21/1981,311000,
120,MASKED,MASKED,95827,CA,henry@gmail.com,05/21/1981,315537,
121,MASKED,MASKED,95742,CA,henry@gmail.com,05/21/1981,320000,
122,MASKED,MASKED,95742,CA,henry@gmail.com,05/21/1981,320000,
123,MASKED,MASKED,95826,CA,henry@gmail.com,05/21/1981,328360,
124,MASKED,MASKED,95662,CA,henry@gmail.com,05/21/1981,334150,
125,MASKED,MASKED,95757,CA,henry@gmail.com,05/21/1981,335750,
126,MASKED,MASKED,95757,CA,henry@gmail.com,05/21/1981,335750,
127,MASKED,MASKED,95833,CA,henry@gmail.com,05/21/1981,339500,
128,MASKED,MASKED,95630,CA,henry@gmail.com,05/21/1981,344250,
129,MASKED,MASKED,95758,CA,henry@gmail.com,05/21/1981,346210,
130,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,347029,
131,MASKED,MASKED,95757,CA,henry@gmail.com,05/21/1981,347650,
132,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,351300,
133,MASKED,MASKED,95762,CA,henry@gmail.com,05/21/1981,352000,
134,MASKED,MASKED,95831,CA,henry@gmail.com,05/21/1981,370000,
135,MASKED,MASKED,95683,CA,henry@gmail.com,05/21/1981,370500,
136,MASKED,MASKED,95693,CA,henry@gmail.com,05/21/1981,372000,
137,MASKED,MASKED,95757,CA,henry@gmail.com,05/21/1981,375000,
138,MASKED,MASKED,95835,CA,henry@gmail.com,05/21/1981,381300,
139,MASKED,MASKED,95831,CA,henry@gmail.com,05/21/1981,381942,
140,MASKED,MASKED,95843,CA,henry@gmail.com,05/21/1981,387731,
141,MASKED,MASKED,95814,CA,henry@gmail.com,05/21/1981,391000,
142,MASKED,MASKED,95757,CA,henry@gmail.com,05/21/1981,394470,
143,MASKED,MASKED,95635,CA,henry@gmail.com,05/21/1981,395000,
144,MASKED,MASKED,95624,CA,henry@gmail.com,05/21/1981,400186,
145,MASKED,MASKED,95831,CA,henry@gmail.com,05/21/1981,415000,
146,MASKED,MASKED,95757,CA,henry@gmail.com,05/21/1981,425000,
147,MASKED,MASKED,95742,CA,henry@gmail.com,05/21/1981,430000,
148,MASKED,MASKED,95624,CA,henry@gmail.com,05/21/1981,445000,
149,MASKED,MASKED,95630,CA,henry@gmail.com,05/21/1981,460000,
150,MASKED,MASKED,95757,CA,henry@gmail.com,05/21/1981,461000,
151,MASKED,MASKED,95757,CA,henry@gmail.com,05/21/1981,489332,
152,MASKED,MASKED,95757,CA,henry@gmail.com,05/21/1981,510000,
153,MASKED,MASKED,95630,CA,henry@gmail.com,05/21/1981,539000,
154,MASKED,MASKED,95630,CA,henry@gmail.com,05/21/1981,585000,
155,MASKED,MASKED,95762,CA,henry@gmail.com,05/21/1981,600000,
156,MASKED,MASKED,95762,CA,henry@gmail.com,05/21/1981,606238,
157,MASKED,MASKED,95864,CA,henry@gmail.com,05/21/1981,660000,
158,MASKED,MASKED,95762,CA,henry@gmail.com,05/21/1981,830000,
159,MASKED,MASKED,95621,CA,corbett@hotmail.com,07/26/1976,69000,
160,MASKED,MASKED,95817,CA,henry@gmail.com,07/26/1976,70000,
161,MASKED,MASKED,95624,CA,corbett@hotmail.com,07/26/1976,71000,
162,MASKED,MASKED,95815,CA,henry@gmail.com,07/26/1976,78000,
163,MASKED,MASKED,95824,CA,henry@gmail.com,07/26/1976,78400,
164,MASKED,MASKED,95822,CA,henry@gmail.com,07/26/1976,80000,
165,MASKED,MASKED,95815,CA,henry@gmail.com,07/26/1976,89000,
166,MASKED,MASKED,95815,CA,henry@gmail.com,07/26/1976,90000,
167,MASKED,MASKED,95824,CA,henry@gmail.com,07/26/1976,90000,
168,MASKED,MASKED,95824,CA,henry@gmail.com,07/26/1976,92000,
169,MASKED,MASKED,95820,CA,henry@gmail.com,07/26/1976,93675,
170,MASKED,MASKED,95683,CA,henry@gmail.com,07/26/1976,97750,
171,MASKED,MASKED,95815,CA,henry@gmail.com,07/26/1976,98000,
172,MASKED,MASKED,95758,CA,corbett@hotmail.com,07/26/1976,98000,
173,MASKED,MASKED,95864,CA,henry@gmail.com,07/26/1976,99000,
174,MASKED,MASKED,95758,CA,corbett@hotmail.com,07/26/1976,100000,
175,MASKED,MASKED,95632,CA,henry@gmail.com,07/26/1976,106716,
176,MASKED,MASKED,95820,CA,henry@gmail.com,07/26/1976,111000,
177,MASKED,MASKED,95660,CA,henry@gmail.com,07/26/1976,111000,
178,MASKED,MASKED,95842,CA,henry@gmail.com,07/26/1976,114800,
179,MASKED,MASKED,95670,CA,henry@gmail.com,07/26/1976,120108,
180,MASKED,MASKED,95824,CA,henry@gmail.com,07/26/1976,123225,
181,MASKED,MASKED,95838,CA,henry@gmail.com,07/26/1976,123750,
182,MASKED,MASKED,95660,CA,henry@gmail.com,07/26/1976,125000,
183,MASKED,MASKED,95822,CA,henry@gmail.com,07/26/1976,125000,
184,MASKED,MASKED,95626,CA,henry@gmail.com,07/26/1976,126000,
185,MASKED,MASKED,95660,CA,henry@gmail.com,07/26/1976,129000,
186,MASKED,MASKED,95838,CA,henry@gmail.com,07/26/1976,134000,
187,MASKED,MASKED,95838,CA,henry@gmail.com,07/26/1976,135000,
188,MASKED,MASKED,95815,CA,henry@gmail.com,07/26/1976,135500,
189,MASKED,MASKED,95833,CA,henry@gmail.com,07/26/1976,140000,
190,MASKED,MASKED,95632,CA,henry@gmail.com,07/26/1976,140000,
191,MASKED,MASKED,95628,CA,corbett@hotmail.com,07/26/1976,142500,
192,MASKED,MASKED,95834,CA,henry@gmail.com,07/26/1976,143500,
193,MASKED,MASKED,95758,CA,corbett@hotmail.com,07/26/1976,145000,
194,MASKED,MASKED,95820,CA,henry@gmail.com,07/26/1976,145000,
195,MASKED,MASKED,95828,CA,henry@gmail.com,07/26/1976,145000,
196,MASKED,MASKED,95828,CA,henry@gmail.com,07/26/1976,145000,
197,MASKED,MASKED,95660,CA,henry@gmail.com,07/26/1976,146000,
198,MASKED,MASKED,95822,CA,henry@gmail.com,07/26/1976,148500,
199,MASKED,MASKED,95828,CA,henry@gmail.com,07/26/1976,149000,
200,MASKED,MASKED,95828,CA,henry@gmail.com,07/26/1976,150000,
201,MASKED,MASKED,95823,CA,henry@gmail.com,07/26/1976,150000,
202,MASKED,MASKED,95758,CA,henry@gmail.com,07/26/1976,152000,
203,MASKED,MASKED,95621,CA,henry@gmail.com,07/26/1976,156000,
204,MASKED,MASKED,95825,CA,henry@gmail.com,07/26/1976,156000,
205,MASKED,MASKED,95624,CA,henry@gmail.com,07/26/1976,156000,
206,MASKED,MASKED,95842,CA,henry@gmail.com,07/26/1976,157788,
207,MASKED,MASKED,95621,CA,henry@gmail.com,07/26/1976,161653,
208,MASKED,MASKED,95820,CA,henry@gmail.com,07/26/1976,161829,
209,MASKED,MASKED,95843,CA,henry@gmail.com,07/26/1976,165000,
210,MASKED,MASKED,95823,CA,henry@gmail.com,07/26/1976,168000,
211,MASKED,MASKED,95842,CA,henry@gmail.com,07/26/1976,169000,
212,MASKED,MASKED,95670,CA,henry@gmail.com,07/26/1976,175000,
213,MASKED,MASKED,95823,CA,henry@gmail.com,07/26/1976,176250,
214,MASKED,MASKED,95823,CA,henry@gmail.com,07/26/1976,179000,
215,MASKED,MASKED,95843,CA,henry@gmail.com,07/26/1976,180000,
216,MASKED,MASKED,95758,CA,henry@gmail.com,07/26/1976,180400,
217,MASKED,MASKED,95758,CA,henry@gmail.com,07/26/1976,182000,
218,MASKED,MASKED,95670,CA,henry@gmail.com,07/26/1976,184500,
219,MASKED,MASKED,95758,CA,henry@gmail.com,07/26/1976,185000,
220,MASKED,MASKED,95608,CA,henry@gmail.com,07/26/1976,189000,
221,MASKED,MASKED,95621,CA,henry@gmail.com,07/26/1976,194000,
222,MASKED,MASKED,95826,CA,henry@gmail.com,07/26/1976,195000,
223,MASKED,MASKED,95843,CA,henry@gmail.com,07/26/1976,200000,
224,MASKED,MASKED,95682,CA,henry@gmail.com,07/26/1976,201000,
225,MASKED,MASKED,95648,CA,henry@gmail.com,07/26/1976,202500,
226,MASKED,MASKED,95828,CA,henry@gmail.com,07/26/1976,205000,
227,MASKED,MASKED,95838,CA,henry@gmail.com,07/26/1976,205000,
228,MASKED,MASKED,95667,CA,henry@gmail.com,07/26/1976,205000,
229,MASKED,MASKED,95823,CA,henry@gmail.com,07/26/1976,205000,
230,MASKED,MASKED,95820,CA,henry@gmail.com,07/26/1976,207000,
231,MASKED,MASKED,95682,CA,henry@gmail.com,07/26/1976,210000,
232,MASKED,MASKED,95667,CA,henry@gmail.com,07/26/1976,211500,
233,MASKED,MASKED,95621,CA,henry@gmail.com,07/26/1976,215000,
234,MASKED,MASKED,95610,CA,henry@gmail.com,07/26/1976,215000,
235,MASKED,MASKED,95833,CA,henry@gmail.com,07/26/1976,215500,
236,MASKED,MASKED,95824,CA,henry@gmail.com,07/26/1976,222381,
237,MASKED,MASKED,95825,CA,corbett@hotmail.com,07/26/1976,225000,
238,MASKED,MASKED,95833,CA,henry@gmail.com,07/26/1976,225000,
239,MASKED,MASKED,95825,CA,henry@gmail.com,07/26/1976,225000,
240,MASKED,MASKED,95624,CA,henry@gmail.com,07/26/1976,225000,
241,MASKED,MASKED,95826,CA,henry@gmail.com,07/26/1976,228000,
242,MASKED,MASKED,95673,CA,henry@gmail.com,07/26/1976,229665,
243,MASKED,MASKED,95722,CA,henry@gmail.com,07/26/1976,230000,
244,MASKED,MASKED,95628,CA,henry@gmail.com,07/26/1976,230000,
245,MASKED,MASKED,95757,CA,henry@gmail.com,07/26/1976,230000,
246,MASKED,MASKED,95835,CA,henry@gmail.com,07/26/1976,234000,
247,MASKED,MASKED,95835,CA,henry@gmail.com,07/26/1976,235000,
248,MASKED,MASKED,95822,CA,henry@gmail.com,07/26/1976,236250,
249,MASKED,MASKED,95630,CA,corbett@hotmail.com,07/26/1976,240000,
250,MASKED,MASKED,95624,CA,henry@gmail.com,07/26/1976,242000,
251,MASKED,MASKED,95842,CA,henry@gmail.com,07/26/1976,245000,
252,MASKED,MASKED,95828,CA,henry@gmail.com,07/26/1976,245000,
253,MASKED,MASKED,95816,CA,henry@gmail.com,07/26/1976,245000,
254,MASKED,MASKED,95835,CA,henry@gmail.com,07/26/1976,250000,
255,MASKED,MASKED,95662,CA,henry@gmail.com,07/26/1976,250000,
256,MASKED,MASKED,95662,CA,henry@gmail.com,07/26/1976,250000,
257,MASKED,MASKED,95678,CA,henry@gmail.com,07/26/1976,250000,
258,MASKED,MASKED,95843,CA,henry@gmail.com,07/26/1976,255000,
259,MASKED,MASKED,95610,CA,steve@outlook.com,07/26/1976,256054,
260,MASKED,MASKED,95829,CA,henry@gmail.com,07/26/1976,257729,
261,MASKED,MASKED,95758,CA,henry@gmail.com,07/26/1976,260000,
262,MASKED,MASKED,95843,CA,henry@gmail.com,07/26/1976,261000,
263,MASKED,MASKED,95648,CA,henry@gmail.com,07/26/1976,261800,
264,MASKED,MASKED,95822,CA,henry@gmail.com,07/26/1976,264469,
265,MASKED,MASKED,95843,CA,henry@gmail.com,07/26/1976,265000,
266,MASKED,MASKED,95835,CA,henry@gmail.com,07/26/1976,270000,
267,MASKED,MASKED,95835,CA,henry@gmail.com,07/26/1976,270000,
268,MASKED,MASKED,95835,CA,henry@gmail.com,07/26/1976,270000,
269,MASKED,MASKED,95834,CA,henry@gmail.com,07/26/1976,270000,
270,MASKED,MASKED,95624,CA,henry@gmail.com,07/26/1976,275000,
271,MASKED,MASKED,95758,CA,henry@gmail.com,07/26/1976,275000,
272,MASKED,MASKED,95624,CA,henry@gmail.com,07/26/1976,280000,
273,MASKED,MASKED,95628,CA,henry@gmail.com,07/26/1976,286013,
274,MASKED,MASKED,95834,CA,henry@gmail.com,07/26/1976,292000,
275,MASKED,MASKED,95747,CA,henry@gmail.com,07/26/1976,292000,
276,MASKED,MASKED,95628,CA,henry@gmail.com,07/26/1976,293993,
277,MASKED,MASKED,95678,CA,henry@gmail.com,07/26/1976,294000,
278,MASKED,MASKED,95838,CA,henry@gmail.com,07/26/1976,296769,
279,MASKED,MASKED,95648,CA,henry@gmail.com,07/26/1976,297500,
280,MASKED,MASKED,95670,CA,corbett@hotmail.com,07/26/1976,300000,
281,MASKED,MASKED,95673,CA,henry@gmail.com,07/26/1976,300000,
282,MASKED,MASKED,95632,CA,henry@gmail.com,07/26/1976,300000,
283,MASKED,MASKED,95667,CA,henry@gmail.com,07/26/1976,300000,
284,MASKED,MASKED,95835,CA,henry@gmail.com,07/26/1976,300500,
285,MASKED,MASKED,95670,CA,henry@gmail.com,07/26/1976,305000,
286,MASKED,MASKED,95747,CA,henry@gmail.com,07/26/1976,306500,
287,MASKED,MASKED,95835,CA,henry@gmail.com,07/26/1976,312500,
288,MASKED,MASKED,95648,CA,henry@gmail.com,07/26/1976,315000,
289,MASKED,MASKED,95823,CA,henry@gmail.com,07/26/1976,319789,
290,MASKED,MASKED,95648,CA,henry@gmail.com,07/26/1976,330000,
291,MASKED,MASKED,95630,CA,henry@gmail.com,07/26/1976,330000,
292,MASKED,MASKED,95757,CA,henry@gmail.com,07/26/1976,331000,
293,MASKED,MASKED,95820,CA,henry@gmail.com,07/26/1976,334000,
294,MASKED,MASKED,95670,CA,henry@gmail.com,07/26/1976,336000,
295,MASKED,MASKED,95819,CA,henry@gmail.com,07/26/1976,339000,
296,MASKED,MASKED,95630,CA,henry@gmail.com,07/26/1976,339000,
297,MASKED,MASKED,95632,CA,henry@gmail.com,07/26/1976,345000,
298,MASKED,MASKED,95667,CA,henry@gmail.com,07/26/1976,350000,
299,MASKED,MASKED,95678,CA,henry@gmail.com,07/26/1976,356000,
300,MASKED,MASKED,95823,CA,henry@gmail.com,07/26/1976,361745,
301,MASKED,MASKED,95811,CA,henry@gmail.com,07/26/1976,361948,
302,MASKED,MASKED,95757,CA,henry@gmail.com,07/26/1976,370000,
303,MASKED,MASKED,95677,CA,henry@gmail.com,07/26/1976,380000,
304,MASKED,MASKED,95757,CA,henry@gmail.com,07/26/1976,385000,
305,MASKED,MASKED,95682,CA,henry@gmail.com,07/26/1976,399000,
306,MASKED,MASKED,95765,CA,henry@gmail.com,07/26/1976,402000,
307,MASKED,MASKED,95757,CA,henry@gmail.com,07/26/1976,406026,
308,MASKED,MASKED,95632,CA,henry@gmail.com,07/26/1976,420000,
309,MASKED,MASKED,95742,CA,henry@gmail.com,07/26/1976,425000,
310,MASKED,MASKED,95683,CA,henry@gmail.com,07/26/1976,425000,
311,MASKED,MASKED,95834,CA,henry@gmail.com,07/26/1976,433500,
312,MASKED,MASKED,95648,CA,henry@gmail.com,07/26/1976,436746,
313,MASKED,MASKED,95762,CA,henry@gmail.com,07/26/1976,438700,
314,MASKED,MASKED,95811,CA,henry@gmail.com,07/26/1976,445000,
315,MASKED,MASKED,95630,CA,henry@gmail.com,07/26/1976,450000,
316,MASKED,MASKED,95841,CA,henry@gmail.com,07/26/1976,460000,
317,MASKED,MASKED,95762,CA,henry@gmail.com,07/26/1976,460000,
318,MASKED,MASKED,95624,CA,henry@gmail.com,07/26/1976,460000,
319,MASKED,MASKED,95835,CA,henry@gmail.com,07/26/1976,465000,
320,MASKED,MASKED,95835,CA,henry@gmail.com,07/26/1976,471750,
321,MASKED,MASKED,95765,CA,henry@gmail.com,07/26/1976,480000,
322,MASKED,MASKED,95608,CA,henry@gmail.com,07/26/1976,484000,
323,MASKED,MASKED,95667,CA,henry@gmail.com,07/26/1976,485000,
324,MASKED,MASKED,95757,CA,henry@gmail.com,07/26/1976,495000,
325,MASKED,MASKED,95678,CA,henry@gmail.com,07/26/1976,500500,
326,MASKED,MASKED,95603,CA,henry@gmail.com,07/26/1976,504000,
327,MASKED,MASKED,95762,CA,henry@gmail.com,07/26/1976,541000,
328,MASKED,MASKED,95693,CA,henry@gmail.com,07/26/1976,560000,
329,MASKED,MASKED,95829,CA,henry@gmail.com,07/26/1976,572500,
330,MASKED,MASKED,95608,CA,henry@gmail.com,07/26/1976,582000,
331,MASKED,MASKED,95661,CA,henry@gmail.com,07/26/1976,613401,
332,MASKED,MASKED,95747,CA,henry@gmail.com,07/26/1976,614000,
333,MASKED,MASKED,95628,CA,henry@gmail.com,07/26/1976,680000,
334,MASKED,MASKED,95819,CA,henry@gmail.com,07/26/1976,699000,
335,MASKED,MASKED,95650,CA,henry@gmail.com,07/26/1976,839000,
336,MASKED,MASKED,95842,CA,corbett@hotmail.com,09/19/1970,40000,
337,MASKED,MASKED,95825,CA,corbett@hotmail.com,09/19/1970,48000,
338,MASKED,MASKED,95815,CA,henry@gmail.com,09/19/1970,61500,
339,MASKED,MASKED,95817,CA,henry@gmail.com,09/19/1970,62050,
340,MASKED,MASKED,95820,CA,henry@gmail.com,09/19/1970,65000,
341,MASKED,MASKED,95838,CA,henry@gmail.com,09/19/1970,65000,
342,MASKED,MASKED,95820,CA,henry@gmail.com,09/19/1970,68000,
343,MASKED,MASKED,95820,CA,henry@gmail.com,09/19/1970,68000,
344,MASKED,MASKED,95841,CA,corbett@hotmail.com,09/19/1970,77000,
345,MASKED,MASKED,95842,CA,corbett@hotmail.com,09/19/1970,82732,
346,MASKED,MASKED,95838,CA,henry@gmail.com,09/19/1970,84000,
347,MASKED,MASKED,95820,CA,henry@gmail.com,09/19/1970,84675,
348,MASKED,MASKED,95828,CA,henry@gmail.com,09/19/1970,85000,
349,MASKED,MASKED,95822,CA,henry@gmail.com,09/19/1970,90000,
350,MASKED,MASKED,95826,CA,corbett@hotmail.com,09/19/1970,90000,
351,MASKED,MASKED,95838,CA,henry@gmail.com,09/19/1970,91000,
352,MASKED,MASKED,95838,CA,henry@gmail.com,09/19/1970,95000,
353,MASKED,MASKED,95842,CA,henry@gmail.com,09/19/1970,97500,
354,MASKED,MASKED,95815,CA,steve@outlook.com,09/19/1970,100000,
355,MASKED,MASKED,95826,CA,corbett@hotmail.com,09/19/1970,100000,
356,MASKED,MASKED,95621,CA,henry@gmail.com,09/19/1970,101000,
357,MASKED,MASKED,95815,CA,henry@gmail.com,09/19/1970,102750,
358,MASKED,MASKED,95660,CA,henry@gmail.com,09/19/1970,112500,
359,MASKED,MASKED,95821,CA,henry@gmail.com,09/19/1970,113000,
360,MASKED,MASKED,95820,CA,henry@gmail.com,09/19/1970,114000,
361,MASKED,MASKED,95838,CA,henry@gmail.com,09/19/1970,114000,
362,MASKED,MASKED,95823,CA,henry@gmail.com,09/19/1970,114750,
363,MASKED,MASKED,95843,CA,corbett@hotmail.com,09/19/1970,115000,
364,MASKED,MASKED,95678,CA,corbett@hotmail.com,09/19/1970,115000,
